# Number of 0,Number of 3,lambda,True A,True B,False B,False A
359,166,0.0,333,164,26,2
359,166,0.2,333,164,26,2
359,166,0.4,333,164,26,2
359,166,0.6,333,164,26,2
359,166,0.8,334,164,25,2
359,166,1.0,333,164,26,2
359,166,1.2,333,164,26,2
359,166,1.4,333,164,26,2
359,166,1.6,333,164,26,2
359,166,1.8,333,164,26,2
359,166,2.0,333,164,26,2
359,166,2.2,333,164,26,2
359,166,2.4,333,164,26,2
359,166,2.6,333,164,26,2
359,166,2.8,333,164,26,2
359,166,3.0,333,164,26,2
359,166,3.2,333,164,26,2
359,166,3.4,333,164,26,2
359,166,3.6,333,164,26,2
359,166,3.8,333,164,26,2
359,166,4.0,333,164,26,2
359,166,4.2,333,164,26,2
359,166,4.4,333,164,26,2
359,166,4.6,333,164,26,2
359,166,4.8,333,164,26,2
359,166,5.0,333,164,26,2
359,166,5.2,333,164,26,2
359,166,5.4,333,164,26,2
359,166,5.6,333,164,26,2
359,166,5.8,333,164,26,2
359,166,6.0,333,164,26,2
359,166,6.2,333,164,26,2
359,166,6.4,333,164,26,2
359,166,6.6,333,164,26,2
359,166,6.8,333,164,26,2
359,166,7.0,333,164,26,2
359,166,7.2,333,164,26,2
359,166,7.4,333,164,26,2
359,166,7.6,333,164,26,2
359,166,7.8,333,164,26,2
359,166,8.0,333,164,26,2
359,166,8.2,333,164,26,2
359,166,8.4,333,164,26,2
359,166,8.6,333,164,26,2
359,166,8.8,333,164,26,2
359,166,9.0,333,164,26,2
359,166,9.2,333,164,26,2
359,166,9.4,333,164,26,2
359,166,9.6,333,164,26,2
359,166,9.8,333,164,26,2
359,166,10.0,333,164,26,2
359,166,10.2,333,164,26,2
359,166,10.4,333,164,26,2
359,166,20.0,332,164,27,2
359,166,30.0,336,164,23,2
359,166,40.0,337,164,22,2
359,166,50.0,337,165,22,1
359,166,60.0,337,165,22,1
359,166,70.0,337,165,22,1
359,166,80.0,336,165,23,1
359,166,90.0,336,165,23,1
359,166,100.0,336,165,23,1
