# Lambda,Accuracy,Misclassification,Precision of 7,Precision of 2,Recall of 7,Recall of 2
0.0,0.95942,0.04058,0.99259,0.93810,0.91156,0.99495
0.2,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
0.4,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
0.6,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
0.8,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
1.0,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
1.2,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
1.4,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
1.6,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
1.8,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
2.0,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
2.2,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
2.4,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
2.6,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
2.8,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
3.0,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
3.2,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
3.4,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
3.6,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
3.8,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
4.0,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
4.2,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
4.4,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
4.6,0.96232,0.03768,0.99265,0.94258,0.91837,0.99495
4.8,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
5.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
5.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
5.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
5.6,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
5.8,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
6.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
6.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
6.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
6.6,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
6.8,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
7.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
7.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
7.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
7.6,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
7.8,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
8.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
8.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
8.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
8.6,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
8.8,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
9.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
9.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
9.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
9.6,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
9.8,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
10.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
10.2,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
10.4,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
20.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
30.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
40.0,0.96812,0.03188,0.99275,0.95169,0.93197,0.99495
50.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
60.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
70.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
80.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
90.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
100.0,0.96522,0.03478,0.99270,0.94712,0.92517,0.99495
