feature subset,RSS
(),96.2814450182
"(0,)",44.5285826565
"(1,)",73.6135401858
"(2,)",91.2920390208
"(3,)",89.6249120825
"(4,)",66.4224027212
"(5,)",73.2393913162
"(6,)",84.9917904594
"(7,)",76.9532366773
"(0, 1)",37.0918456326
"(0, 2)",44.4956421641
"(0, 3)",39.9923043512
"(0, 4)",42.3125843014
"(0, 5)",44.4675679985
"(0, 6)",44.4240781493
"(0, 7)",43.4231037877
"(1, 2)",73.0280972166
"(1, 3)",73.3054595303
"(1, 4)",51.7142467925
"(1, 5)",56.7680343395
"(1, 6)",63.0591818844
"(1, 7)",57.1750543669
"(2, 3)",87.1974095846
"(2, 4)",64.0440287736
"(2, 5)",71.2088578668
"(2, 6)",83.8274320999
"(2, 7)",75.8246394805
"(3, 4)",55.0440140206
"(3, 5)",64.1379623361
"(3, 6)",78.8883372665
"(3, 7)",69.5822950557
"(4, 5)",64.0888028479
"(4, 6)",63.2949348633
"(4, 7)",62.362702782
"(5, 6)",71.7499510632
"(5, 7)",70.6035095207
"(6, 7)",76.9508832066
"(0, 1, 2)",36.817229416
"(0, 1, 3)",36.0151671057
"(0, 1, 4)",34.9077488566
"(0, 1, 5)",37.0897874478
"(0, 1, 6)",36.6584924277
"(0, 1, 7)",35.43403324
"(0, 2, 3)",39.8023092023
"(0, 2, 4)",42.244606971
"(0, 2, 5)",44.4377735356
"(0, 2, 6)",44.4151746585
"(0, 2, 7)",43.4230167867
"(0, 3, 4)",35.9694800689
"(0, 3, 5)",39.9708528694
"(0, 3, 6)",39.8968302172
"(0, 3, 7)",38.5454614648
"(0, 4, 5)",41.263782402
"(0, 4, 6)",42.26703355
"(0, 4, 7)",41.8691615337
"(0, 5, 6)",44.301168015
"(0, 5, 7)",42.5622296058
"(0, 6, 7)",43.0999436478
"(1, 2, 3)",72.8448638359
"(1, 2, 4)",51.5482992336
"(1, 2, 5)",56.7165107135
"(1, 2, 6)",62.8091494249
"(1, 2, 7)",57.0673047149
"(1, 3, 4)",48.6013241355
"(1, 3, 5)",55.0746503246
"(1, 3, 6)",62.8352634433
"(1, 3, 7)",56.4676689343
"(1, 4, 5)",49.9092750781
"(1, 4, 6)",48.1015838963
"(1, 4, 7)",47.4174285831
"(1, 5, 6)",54.6303367355
"(1, 5, 7)",53.5706144373
"(1, 6, 7)",57.1014506398
"(2, 3, 4)",54.7743545509
"(2, 3, 5)",63.8679684883
"(2, 3, 6)",78.7556780044
"(2, 3, 7)",69.5255368055
"(2, 4, 5)",62.2061433751
"(2, 4, 6)",62.3111300303
